dataset_name,fraction,num_providers,type_partition,num_objects,num_attributes,density,context_sensitivity,threshold,global_stability,Runtime,CPU_Usage,RAM_Usage,RAM_Used
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.7000000000000001,0.8,0.8333333333333334,611.0340263843536,2.5,13.4,1.3802986145019531
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.8,0.8,0.8333333333333334,611.1522765159607,5.25,13.4,1.3802986145019531
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.9,0.8,1.0,611.2684485912323,2.5,13.4,1.3802871704101562
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.1,0.0,0.6054160679998116,611.3852813243866,0.0,13.4,1.3802642822265625
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.2,0.0,0.6142409389852331,611.51491522789,0.0,13.4,1.3802528381347656
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.30000000000000004,0.0,0.6237015631984484,611.6460492610931,2.65,13.4,1.3802604675292969
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.4,0.0,0.5927528237886773,611.7743339538574,0.0,13.4,1.3802413940429688
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.5,0.0,0.746968667335334,611.9030339717865,0.0,13.4,1.3802223205566406
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.6,0.0,0.5890070179830721,612.0368611812592,7.9,13.4,1.3814163208007812
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.7000000000000001,0.0,0.622946685971686,612.214640378952,34.2,13.4,1.3860340118408203
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.8,0.0,0.6514233885841543,612.3621826171875,27.5,13.4,1.3860321044921875
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.9,0.0,0.6027965989420637,612.5079340934753,25.0,13.4,1.3859825134277344
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.1,0.5,0.8346098856209151,612.6516110897064,32.5,13.4,1.3859615325927734
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.2,0.5,0.8203125,612.7880852222443,25.0,13.4,1.3859405517578125
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.30000000000000004,0.5,0.8295234375,612.925080537796,25.0,13.4,1.3859291076660156
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.4,0.5,0.7534722222222222,613.0637528896332,25.0,13.4,1.3859291076660156
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.5,0.5,1.0,613.2012159824371,41.65,13.4,1.3861541748046875
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.6,0.5,0.8162500000000001,613.342297077179,28.95,13.45,1.3866081237792969
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.7000000000000001,0.5,0.784046875,613.4804141521454,31.6,13.45,1.3870735168457031
dataset_200_10_6_IID,0.75,10,IID,200,10,0.6,0.8,0.5,0.9624,613.6192803382874,27.5,13.45,1.3870601654052734
